CDTA2020,cdtaname20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),235,528,329,-24,235,282,529,554,602,989,568,272,257,407,555,39593,1874,132,700,1417,1440
MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),-17,103,133,-108,-150,279,156,1251,683,788,699,-12,309,774,78,102101,324,247,1642,343,273
MN07,MN07 Upper West Side (CD 7 Approximation),100,1219,48,358,62,249,303,837,316,245,1304,119,279,130,147,127865,67,30,488,616,-33
MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),338,259,122,-70,-118,-362,135,221,240,5,-11,329,158,56,21,138922,155,-132,1720,-98,21
MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),287,84,97,27,9,165,-20,580,16,2,263,275,103,11,236,44900,832,49,1060,539,176
MN10,MN10 Harlem (CD 10 Equivalent),647,575,628,85,67,335,22,316,111,100,298,712,559,101,258,61629,213,93,1289,138,195
MN11,MN11 East Harlem (CD 11 Equivalent),773,983,609,497,270,622,265,96,512,316,323,787,503,530,236,54738,741,57,2697,857,1002
MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),12,32,131,-37,10,74,76,61,40,123,114,12,19,87,0,74722,461,102,2810,193,479
MN64,MN64 Central Park (JIA 64 Equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),109,896,495,328,564,541,620,809,1067,1654,939,294,1851,1559,504,90547,3123,296,5273,4064,2665
QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),235,290,302,796,2138,1035,959,1286,2822,2453,1124,318,3686,1458,327,60696,1183,448,7441,765,1080
QN03,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),36,235,193,171,175,90,51,82,64,78,43,74,162,143,170,58912,52,42,644,116,610
QN04,QN04 Elmhurst-Corona (CD 4 Approximation),197,306,225,235,86,110,208,126,118,225,471,231,334,243,115,58065,480,150,1062,326,551
QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),156,215,77,76,49,24,85,94,180,130,224,147,113,204,148,69946,156,40,206,168,718
QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),0,88,68,84,42,58,441,28,94,180,35,-1,117,498,192,56120,16,65,1827,664,116
QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),279,483,418,325,402,415,156,388,229,295,1231,321,365,466,354,103229,1770,312,2965,1290,1789
QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),136,180,323,84,93,22,60,77,81,153,174,141,412,103,12,58218,913,46,662,141,266
QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),44,58,163,113,229,30,20,197,19,30,15,62,56,25,71,50621,135,191,559,138,412
QN10,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),29,57,69,19,133,47,55,34,10,30,49,31,10,62,10,43508,69,74,214,164,269
QN11,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),31,114,134,48,77,81,33,17,47,44,70,74,51,46,26,47439,60,72,401,138,159
QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),889,721,235,168,120,322,157,153,112,868,856,914,976,1276,401,84633,1679,282,4149,721,776
QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),45,107,76,72,66,76,52,37,48,53,61,65,49,43,30,66410,103,134,188,53,410
QN14,QN14 The Rockaways (CD 14 Approximation),121,193,158,138,75,102,184,99,242,461,308,148,350,1348,380,47966,1189,499,1141,354,556
QN80,QN80 LaGuardia Airport (JIA 80 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN81,QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0
QN82,QN82 Forest Park (JIA 82 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
QN83,QN83 JFK International Airport (JIA 83 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
QN84,QN84 Jamaica Bay (East) (JIA 84 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
SI01,SI01 North Shore (CD 1 Equivalent),46,355,222,173,186,91,-170,772,195,63,181,87,130,94,40,69066,1108,780,1011,371,1074
SI02,SI02 Mid-Island (CD 2 Approximation),75,115,102,124,17,114,143,113,77,368,147,106,97,70,31,51732,165,79,250,89,526
SI03,SI03 South Shore (CD 3 Approximation),152,272,239,183,272,159,141,193,210,255,218,215,223,186,137,62645,168,87,472,17,632
SI95,SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0
