bctcb2020,cenblock20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
10005001025,360610005001025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001026,360610005001026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001027,360610005001027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001028,360610005001028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001029,360610005001029,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0
10005001030,360610005001030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005001031,360610005001031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005002000,360610005002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005002001,360610005002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005002002,360610005002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005002003,360610005002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005002004,360610005002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005002005,360610005002005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005002006,360610005002006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005002007,360610005002007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006001000,360610006001000,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,240,0,0,0,1,0
10006001001,360610006001001,2,0,0,0,0,0,0,0,0,0,0,2,-2,0,0,435,0,0,0,10,0
10006001002,360610006001002,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,134,0,0,10,8,0
10006002000,360610006002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0
10006002001,360610006002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0
10006002002,360610006002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006002003,360610006002003,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,1909,0,0,0,0,0
10006002004,360610006002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006002005,360610006002005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006002006,360610006002006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006003000,360610006003000,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,5,183,0,0,10,0,10
10006003001,360610006003001,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,217,0,0,0,0,0
10006003002,360610006003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006004000,360610006004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10006004001,360610006004001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0
10006005000,360610006005000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0
10006005001,360610006005001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0
10006006000,360610006006000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,2509,0,0
10006006001,360610006006001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006006002,360610006006002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006006003,360610006006003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007001000,360610007001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007001001,360610007001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007001002,360610007001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10007001003,360610007001003,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,4,0,0,0,0,0
10007001004,360610007001004,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,473,0,0,0,0,0
10007001005,360610007001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
10007002000,360610007002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,0,0,0,0,0
10007003000,360610007003000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0
10007004000,360610007004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0
10007004001,360610007004001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0
10007004002,360610007004002,0,0,0,0,0,0,776,0,-118,0,0,0,0,0,0,734,0,0,0,0,42
10007004003,360610007004003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10007004004,360610007004004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0
10007005000,360610007005000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0
10007005001,360610007005001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0
10007006000,360610007006000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,10,0,0,0,0
10007006001,360610007006001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0
10007006002,360610007006002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0
10007007000,360610007007000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007007001,360610007007001,0,4,0,0,0,0,0,-11,0,0,0,0,0,0,0,118,0,0,0,0,6
10007007002,360610007007002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007007003,360610007007003,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,86,0,0,0,0,0
10007007004,360610007007004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007007005,360610007007005,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,571,0,0,0,0,0
10007007006,360610007007006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007007007,360610007007007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007007008,360610007007008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007008000,360610007008000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007008001,360610007008001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007008002,360610007008002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007009000,360610007009000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008001000,360610008001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,1
10008001001,360610008001001,0,0,-4,0,0,-23,0,0,0,0,0,0,0,0,0,319,6,0,81,0,10
10008002000,360610008002000,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,585,0,0,0,0,0
10008003000,360610008003000,0,28,0,0,0,0,0,0,0,0,3,0,0,0,0,657,0,0,0,0,3
10008004000,360610008004000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0
10008005000,360610008005000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531,0,0,0,0,0
10008005001,360610008005001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008005002,360610008005002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008005003,360610008005003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008006000,360610008006000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008006001,360610008006001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
10008006002,360610008006002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008006003,360610008006003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008006004,360610008006004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008006005,360610008006005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008006006,360610008006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0
10008006007,360610008006007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008006008,360610008006008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008006009,360610008006009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008006010,360610008006010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,129,0,0,0,0,72
10008006011,360610008006011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
