bct2020,centract2020,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
3014101,36047014101,14,0,23,3,5,1,0,1,-2,5,-1,160,0,-2,0,,-1,3,43,-139,3
3014102,36047014102,212,55,39,31,0,32,4,-32,4,3,0,214,-2,4,0,,7,0,146,29,-2
3014200,36047014200,0,0,-1,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,3
3014300,36047014300,0,6,13,5,29,-1,-26,-15,64,91,5,73,9,0,6,,9,7,78,13,94
3014500,36047014500,-2,19,12,1,8,15,-1,12,-8,2,17,24,19,44,-2,,0,32,97,122,20
3014700,36047014700,24,16,0,10,3,-3,12,-3,9,22,0,24,9,6,17,,2,-1,6,26,3
3014800,36047014800,0,0,0,0,0,-2,0,0,0,1,0,0,0,0,0,,0,1,-1,-1,1
3014901,36047014901,8,0,-2,0,0,0,-1,-1,0,3,0,8,0,-1,-1,,11,0,6,10,-2
3014902,36047014902,-1,62,0,1,1,26,2,-4,1,-4,0,-1,0,0,0,,4,5,2,12,3
3015000,36047015000,0,0,-1,0,0,-1,-5,0,0,-1,1,0,0,0,-2,,11,-2,-1,0,12
3015100,36047015100,-3,15,1,0,-5,0,-8,-5,0,2,-1,-4,-3,13,-1,,0,4,8,2,-3
3015200,36047015200,1,0,1,3,4,0,0,0,0,-2,4,1,6,0,0,,0,0,4,2,10
3015300,36047015300,2,0,-1,-1,-2,-1,-1,-17,-5,-2,-2,2,0,-3,0,,-4,0,-9,0,-79
3015400,36047015400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3015500,36047015500,-3,-2,0,-3,-3,-5,0,-1,-7,-2,0,-3,-1,-1,0,,0,-3,-7,-2,0
3015700,36047015700,-4,0,1,0,-1,-2,-1,0,0,28,0,-4,0,-1,-2,,0,-2,-8,-4,-4
3015900,36047015900,-2,-9,1,1,-1,0,0,-2,4,-2,-2,-2,-4,-1,0,,0,-1,3,-2,-9
3016000,36047016000,0,8,0,-1,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,-2,4
3016100,36047016100,-1,0,4,-2,0,-1,-3,88,-1,-2,0,-1,310,0,-1,,1,0,700,-3,0
3016200,36047016200,0,0,3,0,0,1,0,0,0,0,21,0,-1,0,-1,,2,0,3,25,15
3016300,36047016300,-5,-24,-1,0,1,-1,0,279,298,0,0,-5,0,3,797,,6,1,2,235,-3
3016400,36047016400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3016500,36047016500,0,0,-3,-4,15,-2,0,-4,-1,-1,-2,-3,-69,-8,0,,0,-3,-7,-2,1
3016600,36047016600,0,-1,-2,-2,2,0,0,3,0,0,0,0,0,0,0,,-1,0,2,0,8
3016700,36047016700,-1,1,-1,-3,-3,-2,-2,0,-3,-1,0,-1,-1,-5,6,,0,-2,-9,27,-6
3016800,36047016800,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,2,0,1
3016900,36047016900,0,0,0,2,-4,-1,-1,0,-1,-1,-3,0,-5,3,0,,15,2,12,0,-3
3017000,36047017000,-1,0,1,6,0,0,0,0,1,0,0,-1,-1,12,0,,0,0,6,1,1
3017100,36047017100,-1,-1,-1,-1,1,-1,1,0,-1,-1,0,-2,0,-3,-1,,0,8,3,1,16
3017200,36047017200,0,0,0,0,0,2,0,0,-1,2,0,0,2,-2,6,,9,0,6,0,0
3017400,36047017400,0,0,-1,-1,0,0,0,-1,-2,0,17,0,0,0,0,,3,0,0,1,1
3017500,36047017500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3017600,36047017600,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,,0,0,0,0,1
3017700,36047017700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3017800,36047017800,0,-1,-1,-1,5,6,0,0,-2,5,-2,0,11,1,0,,2,0,16,11,2
3017900,36047017900,0,0,80,2,0,-4,0,1,14,1,0,0,0,0,0,,0,-1,-2,0,-2
3018000,36047018000,0,0,0,-1,6,0,2,0,-3,0,0,1,12,0,0,,0,0,6,0,-2
3018100,36047018100,-6,-11,-1,0,2,-4,0,-7,1,5,26,-3,-11,0,-3,,4,7,-12,14,-16
3018200,36047018200,0,0,4,0,1,1,3,-2,-2,0,3,0,6,6,0,,0,0,0,0,1
3018300,36047018300,1,15,-2,0,0,-3,23,0,5,-2,0,1,1,-2,-2,,-2,0,53,11,-11
3018400,36047018400,-1,0,1,-1,0,0,7,0,0,1,0,-1,0,1,2,,0,0,0,1,-1
3018501,36047018501,0,4,0,0,19,-3,-3,7,5,1,-2,7,7,0,0,,9,0,7,0,13
3018600,36047018600,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,,2,0,1,2,0
3018700,36047018700,0,24,0,0,0,3,0,1,0,2,0,0,0,6,-2,,4,-1,27,6,20
3018800,36047018800,0,5,0,0,0,0,-5,6,1,0,1,0,0,0,0,,1,0,0,0,0
3019000,36047019000,0,3,2,1,17,3,-2,0,-1,0,1,0,14,22,0,,6,1,18,22,3
3019100,36047019100,6,21,49,97,48,94,59,0,101,1,10,6,-2,11,-1,,19,7,59,28,22
3019200,36047019200,3,-2,12,3,-4,0,3,0,-2,1,1,6,0,-7,0,,2,0,9,0,-7
3019300,36047019300,0,0,1,52,5,0,110,0,143,116,0,0,0,10,154,,81,0,6,125,5
3019400,36047019400,-1,0,13,3,3,-1,0,-2,-2,-2,-1,-1,10,150,0,,4,0,2,-2,2
3019500,36047019500,0,2,0,9,0,0,0,0,21,-2,7,0,2,0,1,,16,0,7,19,10
3019600,36047019600,-2,2,0,0,0,0,0,4,7,9,1,-2,0,3,-1,,0,0,0,-5,7
3019700,36047019700,0,1,-1,0,1,-1,0,-15,-1,1,-3,0,1,2,-2,,1,1,-9,0,3
3019800,36047019800,0,0,-4,0,0,2,0,-2,0,2,2,-1,1,0,0,,0,1,1,0,1
3019900,36047019900,1,5,9,38,17,-4,19,5,66,0,601,1,54,411,34,,0,13,0,45,-10
3020000,36047020000,0,0,0,0,-1,0,0,-2,-4,0,0,0,0,0,1,,0,0,0,0,2
3020100,36047020100,-2,66,42,5,1,11,1,19,-3,2,20,76,-11,-3,1,,2,1,114,33,62
3020200,36047020200,0,0,-1,2,0,0,0,-1,0,0,0,0,2,-2,0,,2,2,-1,-1,0
3020300,36047020300,12,3,28,0,39,25,17,27,4,20,14,17,110,0,0,,12,2,559,41,8
3020400,36047020400,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,,0,0,1,0,0
3020500,36047020500,0,28,8,1,4,12,10,64,128,0,16,0,3,-1,6,,32,0,16,41,26
3020600,36047020600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,-1,1
3020700,36047020700,-1,0,8,-1,-1,0,1,-3,-5,0,2,-1,2,4,-1,,-3,-1,-10,0,0
3020800,36047020800,2,1,-1,0,-3,0,6,1,1,1,0,2,1,0,0,,0,0,0,4,1
3021000,36047021000,0,5,0,-3,-1,11,4,2,1,0,0,0,-2,0,0,,6,0,1,1,5
3021100,36047021100,0,0,101,212,4,0,18,115,16,1,1,0,-1,7,5,,2,0,134,0,15
3021200,36047021200,7,0,2,0,0,-1,1,16,1,-3,0,7,0,1,0,,0,0,37,6,-1
3021300,36047021300,0,0,0,0,0,0,0,0,2,-6,0,163,43,1,53,,293,0,951,30,258
3021400,36047021400,0,0,-2,1,0,12,-2,6,-5,0,9,0,0,0,0,,3,0,0,-1,0
3021500,36047021500,0,6,-6,0,5,77,3,10,2,-2,55,48,26,-1,1,,15,48,23,54,53
3021600,36047021600,0,21,5,2,5,-10,8,13,11,-2,-3,3,-2,-7,0,,6,0,25,25,6
3021700,36047021700,4,0,48,14,-1,-1,-2,12,16,202,0,3,10,-2,0,,76,-32,15,13,-6
3021800,36047021800,0,-1,0,1,1,-1,-6,0,2,0,-2,0,-2,-2,-2,,-6,2,4,-3,-13
3021900,36047021900,0,5,0,0,5,64,1,-1,0,186,147,4,6,0,-1,,19,0,99,7,10
3022000,36047022000,0,8,7,-2,3,6,6,0,8,9,0,6,-1,6,0,,-1,2,8,10,1
3022100,36047022100,93,10,29,0,3,12,44,12,3,2,17,97,10,0,18,,33,3,83,-10,6
3022200,36047022200,5,20,10,0,-7,17,15,10,0,6,81,7,0,5,0,,6,-1,30,8,6
3022400,36047022400,-1,33,10,6,4,-2,-4,0,15,-17,1,-1,17,-8,4,,10,8,17,5,17
3022600,36047022600,0,-1,0,0,0,-1,7,21,-4,-2,27,-6,0,0,4,,0,-3,14,8,41
3022700,36047022700,189,4,49,6,93,-2,187,87,72,30,53,227,29,67,135,,6,23,717,189,30
3022800,36047022800,7,5,36,0,2,0,6,1,0,0,1,7,0,3,0,,0,0,42,3,34
3022900,36047022900,-1,110,49,2,1,11,20,34,10,17,-2,4,33,38,0,,17,-2,29,18,-8
3023000,36047023000,0,0,-3,0,-1,-1,-1,0,-1,1,-6,0,-4,7,2,,1,-2,-31,-1,1
3023100,36047023100,15,18,15,12,8,9,31,96,13,0,44,14,51,56,1,,-2,2,14,30,13
3023200,36047023200,-5,1,8,-8,12,0,-7,1,6,-1,-3,-5,2,-4,-1,,2,2,29,23,-46
3023300,36047023300,80,28,76,54,63,4,8,4,44,13,24,93,6,-5,87,,7,-1,19,55,27
3023400,36047023400,38,7,3,6,-8,-2,-2,8,14,11,-7,38,8,13,0,,2,0,10,2,-1
3023500,36047023500,-3,31,38,30,13,56,19,165,0,20,6,21,4,32,-2,,11,2,95,50,33
3023600,36047023600,2,7,10,-3,-1,5,-2,-3,-9,16,18,2,15,9,-2,,13,4,9,-3,23
3023800,36047023800,-1,12,15,-1,0,6,14,-8,9,12,2,-2,5,-5,-3,,12,-5,24,-2,3
3024000,36047024000,1,1,1,1,-1,4,-6,6,0,0,6,1,-2,2,3,,0,2,-1,-5,5
3024100,36047024100,1,6,54,64,7,5,33,69,8,104,40,1,3,-3,2,,116,14,453,48,45
3024200,36047024200,64,0,-2,0,0,3,0,-8,-1,9,-3,62,86,16,2,,0,2,0,2,-4
3024300,36047024300,74,10,17,17,23,3,-4,3,39,16,57,92,23,15,0,,-1,7,4,3,44
3024400,36047024400,-5,-1,4,0,2,6,1,0,0,0,-3,-5,10,-6,0,,0,3,1,-2,-3
3024500,36047024500,0,0,2,13,7,-1,-1,18,4,8,9,-9,-1,2,1,,5,41,280,15,36
3024600,36047024600,-1,-2,0,-3,0,0,3,0,-8,-2,-2,0,0,-1,0,,0,1,38,5,5
3024700,36047024700,14,1,-1,2,3,14,16,12,2,-2,96,11,29,85,12,,45,0,29,0,36
3024800,36047024800,0,-1,2,1,0,0,1,-1,0,0,0,0,-1,5,0,,0,-2,0,2,-3
3024900,36047024900,0,4,3,5,1,3,8,-3,4,2,6,2,8,1,-1,,6,0,-2,15,24
3025000,36047025000,0,-1,0,0,0,0,0,0,0,-2,0,0,0,0,0,,0,0,2,0,0
3025100,36047025100,-5,-5,1,8,5,59,38,1,21,7,27,-3,61,-6,0,,0,0,11,17,27
3025200,36047025200,0,10,0,1,1,0,0,6,0,0,0,0,4,0,0,,0,0,18,17,0
3025300,36047025300,1,19,1,-3,2,8,2,14,79,0,65,11,1,5,8,,8,39,138,-3,2
3025400,36047025400,1,0,2,0,19,2,0,0,1,0,-1,2,0,0,0,,8,0,6,0,3
3025500,36047025500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3025600,36047025600,0,2,3,1,0,0,2,6,0,1,0,0,-1,7,1,,0,0,2,2,2
3025700,36047025700,89,8,5,15,5,5,0,12,-6,129,12,89,61,60,33,,13,5,87,26,16
3025800,36047025800,0,0,0,0,1,2,0,0,-1,10,0,0,1,0,6,,0,0,0,1,1
3025901,36047025901,0,0,45,0,0,5,-4,11,-2,0,29,-1,101,8,20,,0,28,7,89,17
3025902,36047025902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3026000,36047026000,0,0,7,0,0,0,0,0,2,1,-2,0,1,0,0,,0,0,16,4,0
3026100,36047026100,17,14,-3,28,111,16,8,159,57,56,88,19,21,55,10,,8,6,55,82,28
3026200,36047026200,1,1,0,3,2,0,0,8,1,1,3,1,1,0,1,,2,1,2,7,0
3026300,36047026300,20,0,2,2,1,6,-4,15,0,9,13,22,0,0,4,,7,0,17,26,10
3026400,36047026400,0,0,1,2,-1,1,0,-2,-3,5,0,0,9,0,13,,0,0,0,3,1
3026500,36047026500,7,34,5,0,0,6,-2,7,65,68,32,7,11,-4,-1,,4,25,15,44,11
3026600,36047026600,0,7,2,0,0,0,0,-1,-8,0,0,0,0,0,2,,0,0,0,3,-4
3026700,36047026700,-3,1,7,-2,0,4,7,4,3,0,75,1,3,-5,11,,4,0,57,10,3
3026800,36047026800,0,0,0,0,0,0,0,0,0,-2,44,0,0,10,0,,0,0,1,44,10
3026900,36047026900,1,0,0,1,24,0,28,-1,12,1,8,0,31,3,7,,2,8,8,19,3
3027000,36047027000,1,-4,1,13,-3,0,0,0,0,0,17,1,1,0,0,,0,0,0,0,1
3027100,36047027100,72,-20,101,105,0,0,69,55,20,38,24,72,233,120,0,,0,16,100,151,44
3027200,36047027200,-1,0,0,1,0,0,0,-2,36,3,3,-1,0,0,0,,0,0,13,0,0
3027300,36047027300,0,-1,4,-1,0,0,0,8,43,0,2,22,-2,0,0,,1,0,64,4,6
3027400,36047027400,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,,0,0,1,0,-1
3027500,36047027500,-8,-1,4,1,0,0,13,1,3,2,1,-8,8,0,0,,3,0,2,-4,2
3027600,36047027600,0,9,0,0,1,0,-2,-2,6,6,0,0,0,0,0,,0,0,0,0,0
3027700,36047027700,0,1,0,-2,-1,0,5,7,1,6,7,0,93,8,0,,0,0,5,17,-5
3027800,36047027800,1,6,-2,14,9,-3,7,-4,-3,0,1,1,0,0,1,,0,7,22,1,0
3027900,36047027900,7,4,2,23,2,1,3,14,12,9,2,9,16,5,6,,0,12,9,14,20
3028000,36047028000,0,1,1,0,0,0,1,0,0,0,2,1,0,0,1,,12,0,-2,2,1
3028100,36047028100,5,0,0,93,57,35,0,139,53,11,37,30,0,11,0,,1,0,-1,0,21
3028200,36047028200,14,10,-1,0,0,1,0,1,-3,-4,-3,32,12,0,1,,0,2,5,-3,0
3028300,36047028300,6,13,-2,0,0,1,0,-1,32,35,10,6,20,1,0,,0,4,13,20,17
3028400,36047028400,6,9,1,0,0,2,0,0,7,-1,6,6,0,1,1,,0,0,2,0,0
3028501,36047028501,0,0,0,0,6,0,44,0,0,91,13,0,0,0,0,,6,0,93,72,10
3028502,36047028502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,190,0,0
3028600,36047028600,0,0,0,0,0,0,0,-2,0,0,0,0,6,-1,-2,,0,0,19,0,0
3028700,36047028700,5,0,0,9,6,-6,5,38,9,2,15,5,-2,190,13,,0,0,540,197,13
3028800,36047028800,1,0,0,0,0,-2,2,-2,6,43,0,1,0,19,0,,0,0,3,1,1
3028900,36047028900,18,0,21,2,6,8,6,8,14,12,19,18,6,31,22,,6,2,278,1,8
3029000,36047029000,3,1,0,-2,0,-3,5,3,0,6,-1,3,4,-2,0,,0,0,1,-1,5
3029100,36047029100,7,0,0,4,3,8,14,22,16,-3,17,7,16,10,6,,-18,6,14,7,14
3029200,36047029200,0,0,16,0,-4,15,5,4,0,4,-4,0,4,0,0,,3,6,53,2,0
3029300,36047029300,1,2,6,0,0,-3,16,22,0,2,0,19,1,-2,8,,0,2,72,88,6
3029400,36047029400,0,0,4,0,0,0,0,0,0,0,-4,0,0,0,0,,0,0,509,-8,0
3029500,36047029500,22,4,2,3,0,-5,-4,8,1,15,5,22,-2,3,2,,0,0,42,4,0
3029600,36047029600,0,3,-2,5,6,-1,9,39,6,-2,-5,3,5,-1,0,,-1,0,-1,11,2
3029700,36047029700,0,1,3,0,2,0,3,0,-1,7,0,0,-4,2,0,,-1,-2,5,10,3
3029800,36047029800,0,0,2,0,1,6,-1,-1,0,0,1,0,0,0,0,,6,-4,0,-1,2
3029900,36047029900,10,-2,0,2,0,0,5,14,4,123,12,10,29,1,5,,4,16,453,-1,16
3030000,36047030000,2,11,6,0,0,-1,0,9,-2,6,0,2,0,-1,1,,0,0,1,3,2
3030100,36047030100,0,1,0,-1,2,0,0,3,25,1,-4,0,19,289,16,,2,2,31,16,3
3030200,36047030200,12,-2,0,11,5,0,0,-2,6,-1,-2,12,0,1,0,,0,0,22,10,3
3030300,36047030300,17,72,65,27,2,0,44,80,0,2,5,17,0,1,0,,15,5,19,19,12
3030400,36047030400,-2,21,1,-6,3,0,12,0,1,0,6,-2,0,0,0,,0,0,9,-2,1
3030500,36047030500,30,46,90,331,22,16,14,153,153,22,9,30,59,0,175,,53,-6,723,14,92
3030600,36047030600,6,6,0,-2,0,-1,-2,-1,0,3,17,6,2,0,0,,9,0,1,14,13
3030700,36047030700,0,0,0,-2,2,107,2,12,21,5,7,3,3,-3,0,,10,1,21,10,115
3030800,36047030800,0,6,-2,7,23,24,4,1,8,0,0,0,3,0,0,,0,7,3,0,11
3030900,36047030900,-2,48,0,8,-2,1,-2,66,37,14,8,6,30,7,0,,0,2,30,22,34
3031100,36047031100,4,18,0,0,3,3,-3,3,32,7,0,4,33,-1,21,,0,0,10,8,2
3031300,36047031300,0,0,0,2,6,1,3,0,11,1,3,0,6,5,0,,4,1,12,3,41
3031401,36047031401,6,36,10,-10,-2,20,13,0,-2,-9,2,6,3,14,0,,17,1,4,1,25
3031402,36047031402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3031500,36047031500,0,28,2,8,0,2,1,10,-9,6,29,4,5,17,80,,43,1,10,-13,12
3031701,36047031701,5,8,1,13,1,1,0,3,1,52,12,7,4,4,0,,8,87,26,40,12
3031702,36047031702,13,3,3,7,14,12,51,1,43,6,2,13,0,2,0,,90,-7,6,31,17
3031900,36047031900,6,1,0,0,3,0,0,1,0,-1,8,6,4,0,0,,-1,0,330,0,24
3032100,36047032100,0,0,0,98,3,0,0,-3,165,0,25,0,60,0,0,,37,0,-3,57,14
3032300,36047032300,2,0,0,-2,0,0,-1,0,9,19,8,2,420,0,0,,0,0,0,0,-3
3032500,36047032500,0,0,0,-2,0,0,-1,0,0,5,12,6,5,10,6,,0,0,55,0,1
3032600,36047032600,17,0,-3,20,0,-12,9,0,11,-5,0,17,462,0,7,,16,10,477,4,17
3032700,36047032700,0,0,1,0,0,0,0,28,51,90,0,0,0,-1,-1,,43,0,56,91,4
3032800,36047032800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,0,10,-1
3032900,36047032900,-2,0,0,0,0,0,50,0,28,-2,0,-2,1,1,44,,15,0,0,-2,28
3033000,36047033000,0,0,0,0,0,0,0,0,6,0,0,0,200,0,0,,0,0,0,14,1
3033100,36047033100,8,0,0,13,0,-1,0,-4,0,-1,0,8,26,0,10,,0,0,6,26,9
3033300,36047033300,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,,0,81,100,0,-2
3033500,36047033500,0,0,0,-4,0,0,0,0,0,0,-1,0,-2,0,0,,0,0,-1,-3,-4
3033600,36047033600,3,0,3,-1,-9,1,0,3,5,-2,-1,3,-4,0,0,,4,5,2,-33,7
3033701,36047033701,0,0,0,-2,0,2,42,0,0,0,0,0,-4,0,0,,0,0,-8,26,-1
3033702,36047033702,0,0,0,0,2,0,0,4,1,0,0,0,0,-4,0,,-2,0,1,0,-17
3033900,36047033900,10,1,0,0,6,0,12,0,0,7,0,10,-3,75,1,,2,-1,41,127,132
3034000,36047034000,0,0,0,0,0,11,0,0,0,0,425,0,0,0,0,,0,0,0,0,0
3034100,36047034100,22,0,1,0,0,6,5,6,-1,1,0,22,0,1,0,,0,0,155,4,1
3034200,36047034200,0,77,0,0,200,0,0,0,3,0,0,0,0,0,0,,0,0,0,0,10
3034300,36047034300,0,1,1,0,0,0,0,0,0,0,0,0,1,6,0,,9,3,-1,100,6
3034500,36047034500,6,0,0,0,-1,0,-3,-1,2,0,11,30,0,6,0,,0,6,18,37,22
3034700,36047034700,11,2,2,72,3,3,0,0,0,7,18,31,62,16,6,,3,19,24,2,13
3034800,36047034800,7,-2,-6,6,-3,-2,10,6,-12,64,106,7,-2,0,0,,21,12,854,17,15
3034901,36047034901,0,0,0,0,0,0,0,0,0,6,5,0,27,21,2,,1,17,6,9,1
3034902,36047034902,0,0,-1,0,0,2,-9,0,98,17,0,0,-4,7,0,,0,0,62,35,26
3035000,36047035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3035101,36047035101,0,0,-3,-3,0,87,0,2,0,1,0,0,0,0,0,,0,-1,31,8,10
3035102,36047035102,0,0,0,0,0,-5,1,0,0,0,0,0,0,0,0,,0,0,-3,0,1
3035200,36047035200,0,-7,0,0,0,0,0,0,0,0,135,0,0,202,0,,282,0,0,0,208
3035301,36047035301,0,4,3,4,4,0,-1,0,0,0,5,2,0,0,0,,2,0,0,9,34
3035302,36047035302,0,0,0,1,2,0,0,-1,-1,-1,0,0,0,0,0,,31,0,0,0,24
3035400,36047035400,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,,0,0,0,0,3
3035500,36047035500,35,0,0,0,0,0,0,0,0,0,4,35,0,-5,0,,22,0,13,16,22
3035601,36047035601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3035602,36047035602,112,0,0,0,0,0,0,0,0,0,0,112,0,0,0,,0,0,0,0,0
3035701,36047035701,0,0,0,0,0,0,0,0,0,0,7,0,2,0,8,,0,0,54,6,25
3035702,36047035702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3035900,36047035900,11,16,3,2,0,0,-2,-7,11,13,11,11,0,-2,0,,42,11,94,3,17
3036001,36047036001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2
3036002,36047036002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,2,0
3036100,36047036100,0,0,18,10,0,0,0,0,0,3,0,0,0,21,0,,0,3,11,1,22
3036200,36047036200,0,25,-8,63,72,11,6,-7,1,33,32,0,27,2,0,,-4,-3,-10,-8,19
3036300,36047036300,6,2,0,2,3,0,0,158,101,134,15,7,47,8,7,,2,12,15,15,10
3036400,36047036400,19,-1,21,-5,2,0,-1,-3,21,17,24,19,12,17,-2,,53,12,61,19,50
3036501,36047036501,18,52,0,0,-3,0,0,4,9,22,0,18,0,4,0,,11,11,32,3,14
3036502,36047036502,41,12,122,-1,63,0,0,0,-3,15,3,74,203,5,2,,1,236,21,-10,94
3036600,36047036600,0,16,-2,18,0,1,-4,0,32,-3,0,0,10,7,0,,0,0,30,0,0
3036700,36047036700,8,0,0,0,0,0,0,0,0,0,21,8,9,4,8,,8,0,145,0,3
3036900,36047036900,1,3,62,3,7,48,1,8,18,38,48,9,44,70,1,,0,0,24,0,9
3037000,36047037000,0,0,2,0,0,-1,6,0,0,1,0,0,0,0,0,,0,-1,0,2,6
3037100,36047037100,9,0,-1,4,0,-1,-1,6,7,12,8,9,23,10,0,,3,0,48,69,14
3037300,36047037300,2,0,-2,1,-1,6,0,24,142,0,2,2,11,0,2,,1,2,128,10,7
3037401,36047037401,0,0,1,0,16,0,0,0,0,0,0,0,0,2,0,,7,0,1,-1,3
3037402,36047037402,0,0,0,0,21,21,0,12,0,0,0,0,0,0,0,,1,0,1,-3,-3
3037500,36047037500,2,3,17,38,6,-2,3,73,113,38,12,6,24,12,7,,49,0,15,7,14
3037700,36047037700,-2,20,1,-4,0,-11,0,19,3,11,7,-3,0,4,1,,11,0,24,-2,12
3037900,36047037900,44,0,0,-2,2,6,5,0,-1,-3,0,50,12,0,1,,7,14,12,1,21
3038100,36047038100,0,33,5,1,26,5,12,10,16,17,7,0,10,0,0,,0,9,30,22,15
3038200,36047038200,0,7,-1,-1,0,1,3,0,-2,2,-1,0,8,2,9,,1,0,0,13,5
3038300,36047038300,19,2,0,-2,4,3,0,11,11,5,25,39,17,24,0,,1,3,27,15,21
3038500,36047038500,0,3,0,4,0,4,20,-5,16,24,51,6,11,30,0,,10,-2,11,33,34
3038600,36047038600,0,0,12,-2,9,0,-2,6,1,0,1,0,0,-1,0,,0,1,7,3,6
3038700,36047038700,9,0,1,1,0,52,-7,55,128,111,103,9,42,67,-2,,164,34,84,76,68
3038800,36047038800,-1,-1,-3,-3,0,1,-1,0,-3,0,-2,-1,-1,0,0,,0,8,-3,2,-5
3038900,36047038900,24,15,5,-2,-6,4,14,57,143,17,-2,88,32,26,7,,12,4,108,125,12
3039000,36047039000,0,1,0,0,1,-1,0,-1,-2,-2,-2,-3,0,-2,0,,0,0,1,0,0
3039100,36047039100,10,58,146,-1,38,60,23,44,3,1049,660,18,16,0,0,,8,0,155,104,30
3039200,36047039200,1,2,0,1,-1,0,0,-2,0,0,-1,1,-2,-4,0,,2,-1,-6,-3,-7
3039300,36047039300,35,52,3,44,127,0,68,26,21,5,58,60,14,76,0,,69,7,12,11,45
3039400,36047039400,2,0,-7,-3,-1,-3,-2,-4,-3,-4,1,2,-4,-82,-1,,2,1,-5,-4,26
3039500,36047039500,0,3,1,5,3,18,110,33,25,106,223,4,54,29,18,,0,41,22,69,77
3039600,36047039600,0,-3,28,0,1,2,0,1,-4,0,-3,0,-1,0,0,,-2,7,14,-1,-1
3039700,36047039700,13,-1,0,4,28,1,2,21,55,41,18,21,1,9,27,,37,8,254,20,86
3039800,36047039800,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,-3,,0,0,7,2,9
3039900,36047039900,17,0,-34,0,0,0,3,-4,17,11,6,17,38,-3,45,,0,0,25,9,21
3040000,36047040000,1,-1,0,0,2,0,0,0,0,0,0,1,0,5,0,,0,0,0,0,10
3040100,36047040100,9,1,4,2,0,8,6,9,1,35,44,9,6,0,3,,16,12,78,44,39
3040200,36047040200,0,0,20,0,2,0,0,2,-1,1,0,0,-1,2,-1,,0,0,5,1,2
3040300,36047040300,51,87,4,0,27,0,17,1,22,19,15,51,20,2,1,,69,14,34,5,36
3040400,36047040400,0,1,25,-2,0,6,0,0,0,0,16,0,0,-1,0,,0,16,3,1,3
3040500,36047040500,0,1,0,4,-1,14,0,0,57,18,0,0,4,1,3,,12,10,17,21,13
3040600,36047040600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0
3040700,36047040700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3040800,36047040800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0
3040900,36047040900,3,8,-2,7,0,0,0,29,-2,10,0,3,1,-1,0,,22,0,39,-1,55
3041000,36047041000,0,0,-3,0,1,0,0,-1,1,0,0,0,0,2,-1,,0,1,-1,2,-3
3041100,36047041100,9,-3,2,0,1,4,8,15,11,5,-4,9,14,24,0,,6,10,52,16,22
3041200,36047041200,0,24,10,1,0,0,-3,-1,0,0,0,-1,0,51,0,,0,2,1,40,-1
3041300,36047041300,0,0,2,2,-2,0,26,15,4,8,9,12,0,6,6,,6,24,16,24,7
3041401,36047041401,0,1,-1,0,-3,-1,-9,1,-1,-2,-2,0,-1,-1,0,,1,0,13,1,-2
3041402,36047041402,1,-2,0,1,0,-1,0,-3,-2,-3,1,1,2,0,-1,,4,0,6,2,4
3041500,36047041500,13,3,6,0,1,-8,10,5,-2,1,33,13,45,33,15,,-2,14,75,22,12
