bct2020,centract2020,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
2039200,36005039200,0,0,0,0,0,-3,0,-1,-1,1,0,0,0,-1,1,,1,0,0,0,1
2039300,36005039300,3,0,0,0,-2,-3,16,41,0,0,0,3,-2,4,-2,,29,-4,107,73,-1
2039400,36005039400,-4,-6,0,-1,20,0,-1,0,8,0,-1,-8,7,52,32,,106,0,128,0,8
2039500,36005039500,0,50,68,2,-5,2,0,0,0,0,238,0,5,0,0,,287,0,16,3,144
2039600,36005039600,-1,29,10,28,11,-3,0,4,15,7,14,-1,15,0,4,,2,3,37,1,-3
2039700,36005039700,0,95,0,0,0,54,0,0,0,-2,10,0,0,0,188,,279,0,24,11,0
2039800,36005039800,0,12,6,0,0,6,0,0,2,0,0,0,4,0,0,,1,0,1,2,9
2039901,36005039901,0,0,0,0,0,0,-2,-2,0,-2,0,0,0,0,63,,0,1,31,12,3
2039902,36005039902,0,0,0,0,0,16,0,0,68,0,0,0,-1,1,0,,1,38,58,16,-1
2040100,36005040100,0,0,0,44,31,0,0,39,0,94,0,189,0,0,0,,0,0,102,104,0
2040302,36005040302,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,,0,0,81,0,2
2040303,36005040303,0,6,0,0,15,-2,31,0,75,0,-4,0,-6,-4,44,,0,0,173,0,0
2040304,36005040304,0,0,0,0,0,0,0,-1,0,0,136,0,0,2,0,,0,0,166,0,1
2040400,36005040400,0,14,8,0,2,1,0,0,0,0,-1,0,6,0,1,,0,0,3,0,9
2040501,36005040501,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,15,-2,46,0,52
2040502,36005040502,0,50,53,-4,0,0,0,42,0,100,0,-1,17,-2,0,,0,-2,56,0,21
2040600,36005040600,-2,1,2,6,0,3,12,-1,0,8,3,-2,1,1,-2,,4,-1,16,-2,2
2040701,36005040701,0,0,0,0,0,0,0,0,-3,-2,-2,0,162,-1,0,,65,28,141,0,2
2040702,36005040702,0,160,0,16,-5,-5,0,1,0,197,0,0,114,-6,75,,5,0,19,0,1
2040800,36005040800,1,-1,0,6,65,0,-2,-1,2,0,0,1,0,0,0,,2,0,0,-4,3
2040900,36005040900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2041100,36005041100,61,0,0,-1,-6,55,56,-2,-3,-6,0,54,82,-5,-4,,13,73,442,113,41
2041300,36005041300,177,-5,0,77,1,27,-2,1,8,-13,-26,231,73,211,0,,46,62,609,62,43
2041400,36005041400,36,0,1,56,-5,0,0,0,0,4,-1,36,88,102,0,,1,7,157,-1,4
2041500,36005041500,0,0,6,0,0,0,122,0,0,-3,-2,0,-5,-3,33,,0,0,141,0,-35
2041800,36005041800,0,0,8,0,0,62,0,0,3,0,0,0,0,0,0,,0,2,1,1,1
2041900,36005041900,-1,0,-1,-1,64,-3,0,0,0,0,10,-1,-10,-5,0,,7,0,8,2,20
2042000,36005042000,0,20,30,0,0,12,0,0,3,0,0,0,0,7,-3,,0,0,121,1,4
2042100,36005042100,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,,0,0,-39,0,0
2042200,36005042200,0,12,0,16,0,0,0,0,0,0,1,0,-3,0,0,,26,0,69,0,3
2042300,36005042300,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,8
2042400,36005042400,3,0,1,0,-2,3,0,0,0,1,-1,3,5,0,0,,2,0,19,0,0
2042500,36005042500,30,0,0,9,1,-2,0,0,57,200,0,30,-2,-7,0,,263,8,36,116,54
2042600,36005042600,-1,3,6,8,2,4,4,0,2,0,4,1,-2,1,0,,8,0,5,-1,2
2042800,36005042800,0,0,3,2,3,0,0,1,0,0,0,2,0,3,6,,0,0,1,1,2
2042901,36005042901,0,0,0,2,0,0,0,0,0,0,80,1,0,96,0,,0,0,70,98,1
2042902,36005042902,-2,122,0,0,0,0,0,115,0,-1,0,-2,16,0,0,,0,8,28,14,2
2043000,36005043000,0,6,0,0,0,0,1,0,0,0,0,4,0,0,0,,1,0,1,1,0
2043101,36005043101,0,-2,0,0,0,0,-1,0,0,0,0,0,0,12,0,,10,0,44,0,0
2043102,36005043102,0,-2,-2,70,32,0,0,0,-2,2,0,0,0,24,0,,0,0,132,0,82
2043400,36005043400,0,0,6,0,0,0,0,2,0,3,0,0,116,0,0,,2,10,255,0,-1
2043501,36005043501,0,0,0,0,51,0,230,80,0,123,0,0,0,0,0,,0,0,0,0,0
2043502,36005043502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2043503,36005043503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2043600,36005043600,0,1,0,0,-1,4,2,6,0,0,0,0,1,0,0,,0,0,2,0,2
2044200,36005044200,2,6,0,-1,0,2,-1,-2,0,0,12,3,2,1,-1,,0,1,79,3,12
2044400,36005044400,2,0,-1,0,2,1,0,1,0,2,2,2,0,0,0,,1,0,0,-1,2
2044800,36005044800,0,-1,0,5,5,0,2,2,6,5,0,0,0,0,4,,2,0,5,1,0
2044901,36005044901,0,2,0,-1,0,0,0,0,0,-1,-1,0,80,0,0,,0,0,0,-1,0
2044902,36005044902,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,-1,1,2
2045101,36005045101,0,0,0,0,0,0,-1,0,0,0,25,0,0,0,0,,1,0,0,8,26
2045102,36005045102,0,0,0,0,0,0,-1,0,4,0,0,0,1,0,0,,0,0,0,-1,0
2045600,36005045600,0,10,10,2,0,0,8,0,0,-1,0,0,0,1,7,,11,-1,14,6,10
2045800,36005045800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2046000,36005046000,-2,0,7,6,19,0,0,2,1,0,0,-2,1,0,-1,,2,0,1,1,7
2046203,36005046203,0,0,70,4,0,-1,177,0,-1,0,-1,0,0,0,0,,0,0,8,-1,-92
2046204,36005046204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2046205,36005046205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2046206,36005046206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2046207,36005046207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2046208,36005046208,0,61,27,6,2,1,6,15,2,0,0,0,1,0,0,,4,-4,5,0,1
2046209,36005046209,0,0,0,0,0,0,0,15,0,-5,-1,0,0,0,-5,,0,11,15,-4,15
2048401,36005048401,1,14,0,2,0,5,0,11,4,0,0,1,-1,-3,1,,2,3,3,2,0
2048402,36005048402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2050400,36005050400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2051601,36005051601,0,3,1,1,1,-1,2,14,4,10,12,4,1,3,0,,53,0,9,1,165
2051602,36005051602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3000100,36047000100,-4,-2,-1,0,22,1,12,85,15,-5,162,-4,-1,-1,7,,-4,0,100,171,88
3000200,36047000200,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,,0,0,0,-2,1
3000301,36047000301,-9,3,-6,0,1,-14,-13,-1,-7,0,-2,-23,-3,-1,0,,1,0,-13,-13,-3
3000501,36047000501,-9,0,39,2,1,-6,0,-1,0,-101,0,-9,-2,-9,0,,273,0,2,189,-16
3000502,36047000502,134,0,0,5,-4,0,-2,-14,0,-18,0,134,0,0,0,,-2,0,-4,7,-11
3000700,36047000700,-1,-4,-8,-18,1,-2,-2,-3,-4,-1,262,-1,-3,-3,-1,,0,-1,-20,1,-8
3000900,36047000900,55,-1,75,29,4,-9,58,112,58,0,104,55,-8,118,2,,29,58,-8,-34,121
3001100,36047001100,0,0,0,0,0,370,30,3,0,0,0,0,0,0,0,,110,0,293,-1,0
3001300,36047001300,0,0,0,0,0,0,0,0,0,270,0,0,0,180,0,,0,0,100,0,0
3001501,36047001501,9,510,16,-14,0,436,64,84,5,5,21,16,286,0,0,,8,0,478,1,0
3001502,36047001502,483,0,0,0,-61,-5,1225,244,0,260,0,483,23,0,541,,0,0,229,268,17
3001801,36047001801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1
3001802,36047001802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,200
3001803,36047001803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3001804,36047001804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3002000,36047002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,2
3002100,36047002100,161,20,140,116,104,300,30,148,23,200,3,161,780,84,65,,7,0,461,44,26
3002200,36047002200,-1,6,5,0,22,-4,0,8,0,14,0,-1,13,0,53,,4,20,26,0,45
3002300,36047002300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3002901,36047002901,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,,3,0,105,3,0
3003000,36047003000,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,0,,2,3,-1,1,-1
3003101,36047003101,0,95,1,0,0,0,205,228,440,0,0,0,476,0,0,,0,0,979,0,0
3003102,36047003102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3003300,36047003300,0,-2,2,-5,324,1,0,586,-1,306,-2,-1,-7,-2,0,,2,0,2598,5,7
3003400,36047003400,0,0,3,0,-1,0,-1,0,0,0,0,0,0,0,0,,0,0,-1,0,0
3003500,36047003500,0,0,0,0,4,-1,-2,377,0,-2,-2,0,0,0,0,,0,0,107,7,2
3003600,36047003600,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0,,0,0,0,0,1
3003700,36047003700,480,246,274,0,36,-16,-34,0,1643,368,184,480,186,160,327,,249,-18,757,19,84
3003800,36047003800,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0
3003900,36047003900,62,0,0,-2,-1,0,1,17,40,37,0,61,-12,0,41,,9,0,606,29,-2
3004100,36047004100,9,0,9,-2,2,-1,14,-1,0,1,-1,9,7,127,-1,,7,-1,-6,7,0
3004300,36047004300,0,65,12,-2,10,66,2,155,5,-3,14,0,29,2,1,,0,-4,4,59,10
3004400,36047004400,0,-3,-2,1,-2,1,-1,0,-1,-1,0,0,1,0,0,,0,0,3,-1,1
3004500,36047004500,-1,-6,-1,-10,-1,-1,-5,-2,0,6,-3,-1,25,-1,-2,,-2,-6,-14,-14,-1
3004600,36047004600,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,33
3004700,36047004700,6,137,30,2,10,6,1,0,0,8,0,4,-3,0,0,,0,0,54,-7,11
3004900,36047004900,-3,0,-3,0,-2,-2,7,-5,-2,42,4,-1,-2,-3,0,,-1,0,-4,0,98
3005000,36047005000,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,,0,0,-2,-1,1
3005100,36047005100,-2,19,17,25,4,16,-2,6,9,7,8,-1,-1,2,5,,8,0,10,18,2
3005201,36047005201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3005202,36047005202,14,0,0,0,1,0,0,0,-1,0,0,14,0,0,0,,0,0,0,0,0
3005301,36047005301,-6,4,1,-7,3,-2,1,10,21,18,17,-6,0,19,22,,248,16,8,-2,25
3005302,36047005302,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,,0,0,0,0,0
3005303,36047005303,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,,0,0,0,0,0
3005400,36047005400,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,1,1
3005601,36047005601,15,0,0,0,0,0,-1,0,4,0,0,15,0,0,0,,1,0,0,20,1
3005602,36047005602,-4,0,0,23,0,0,12,0,0,1,0,-4,0,40,0,,0,0,13,14,0
3005800,36047005800,0,4,1,4,0,0,1,1,0,0,0,0,-2,0,0,,8,-2,0,0,0
3005900,36047005900,2,1,-1,1,-1,1,0,0,22,0,0,2,15,0,0,,24,1,20,21,19
3006000,36047006000,0,1,0,0,-3,0,-1,0,0,4,0,0,-1,0,0,,1,0,3,1,3
3006200,36047006200,0,1,0,2,0,0,0,0,2,-1,0,0,0,-1,0,,0,2,5,-4,0
3006300,36047006300,-2,0,-1,2,0,-2,1,-4,0,-1,17,-1,-1,3,0,,4,4,-4,-1,3
3006400,36047006400,0,2,-3,0,-2,0,2,-2,2,3,-1,1,1,-1,0,,0,0,32,1,31
3006500,36047006500,-6,11,-3,-2,15,-6,0,-1,-5,-7,3,-6,11,10,-1,,-2,-2,-12,-4,0
3006600,36047006600,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,,0,0,-2,0,-1
3006700,36047006700,-5,-6,-3,-7,24,13,-1,2,-5,-2,-8,-7,-12,-6,0,,-2,-1,-24,-5,-7
3006800,36047006800,1,4,2,3,-1,0,25,0,10,0,0,1,0,0,0,,2,0,11,1,0
3006901,36047006901,0,6,1,0,9,-2,-2,1,5,7,1,-1,-3,0,2,,-6,0,14,14,-1
3006902,36047006902,5,2,0,-1,-2,-4,-4,-2,-5,4,1,5,2,3,8,,-3,7,-7,15,12
3007000,36047007000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1
3007100,36047007100,0,-1,-1,0,-3,-2,-3,-8,0,-1,0,2,-2,16,-1,,-2,0,65,-6,0
3007200,36047007200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,3
3007400,36047007400,6,7,2,4,3,3,3,4,1,2,0,8,0,0,0,,0,0,2,0,0
3007500,36047007500,-2,-1,1,-5,2,14,0,37,3,-3,-3,5,-7,21,0,,-6,1,1591,24,4
3007600,36047007600,0,0,7,0,26,1,1,2,2,0,-1,0,17,0,7,,1,2,9,17,24
3007700,36047007700,9,10,108,1,-3,-4,-4,429,270,-2,0,9,-11,5,-1,,0,-1,1445,2,8
3007800,36047007800,1,0,7,1,-2,0,2,0,14,25,-8,5,10,54,2,,0,-2,-1,0,93
3008000,36047008000,0,1,-2,0,0,0,0,0,0,1,5,0,1,3,0,,0,0,1,2,16
3008200,36047008200,-1,10,0,3,0,3,0,5,-2,0,8,-1,0,5,3,,8,0,18,2,17
3008400,36047008400,0,-3,1,0,-2,4,18,7,0,-24,-4,1,0,0,0,,0,0,10,1,4
3008500,36047008500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3008600,36047008600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3008800,36047008800,0,4,0,0,0,0,-4,0,-1,0,0,0,0,0,0,,0,0,9,1,3
3009001,36047009001,0,4,23,-2,0,7,7,-2,0,0,11,0,7,0,0,,0,0,0,0,6
3009002,36047009002,0,-1,10,7,0,0,-4,0,0,0,0,9,0,0,0,,0,40,0,0,0
3009201,36047009201,0,18,8,11,9,12,0,0,0,-2,30,0,8,2,0,,0,0,2,2,9
3009202,36047009202,3,2,0,1,1,2,0,-1,0,0,8,3,2,0,0,,0,0,5,0,2
3009401,36047009401,0,5,3,2,0,0,0,2,0,0,10,0,3,0,0,,0,0,3,1,5
3009402,36047009402,-2,0,4,0,-1,0,-1,14,0,0,1,-2,1,-12,10,,2,0,23,56,18
3009600,36047009600,6,1,5,3,5,1,0,6,0,0,3,6,8,13,3,,2,5,5,16,6
3009800,36047009800,3,27,19,4,1,0,3,6,3,3,4,3,2,1,4,,0,7,0,3,5
3010000,36047010000,1,2,8,2,9,3,10,6,4,9,4,4,4,5,2,,0,2,19,23,2
3010100,36047010100,-4,1,12,-1,0,20,-1,1,0,-1,-1,-4,-1,-2,-1,,5,7,346,6,3
3010200,36047010200,4,6,9,3,0,-1,2,9,9,7,21,14,-2,-4,3,,9,68,7,13,6
3010401,36047010401,9,4,27,1,1,-5,1,-8,0,4,-6,7,-8,-4,-1,,-2,0,11,31,9
3010402,36047010402,1,36,2,3,7,10,5,2,2,12,3,3,6,0,7,,5,4,21,18,8
3010601,36047010601,2,7,2,4,2,-3,0,1,4,8,2,4,0,0,9,,10,0,12,2,8
3010602,36047010602,0,1,2,1,0,-3,-4,1,7,13,14,0,1,-1,0,,12,0,55,27,3
3010801,36047010801,2,6,3,2,5,8,0,0,4,-4,0,4,3,11,9,,29,16,16,7,14
3010802,36047010802,4,0,13,7,0,0,-6,-2,0,0,20,6,10,0,2,,30,6,2,6,9
3011000,36047011000,72,0,0,0,19,-2,-2,-3,7,-2,5,72,0,-2,0,,0,0,20,-4,15
3011200,36047011200,0,24,13,0,1,0,-4,19,8,10,0,0,-4,7,2,,0,10,41,-2,29
3011400,36047011400,5,0,12,2,0,-2,0,2,2,2,2,5,12,5,0,,4,7,34,17,9
3011600,36047011600,24,10,22,5,6,18,25,9,11,7,45,32,19,22,10,,12,25,51,59,21
3011700,36047011700,25,177,79,0,0,1,6,-9,-8,1,5,92,2,10,7,,6,10,90,19,-1
3011800,36047011800,0,13,7,0,3,-6,-1,-8,-4,8,0,0,-2,-4,-2,,113,9,6,-5,0
3011901,36047011901,0,0,0,3,0,-2,4,-1,-4,0,0,0,0,-1,0,,240,252,3512,124,6
3011902,36047011902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
3012000,36047012000,0,-1,0,0,-3,0,0,0,-1,-1,-2,0,0,0,-1,,-1,0,4,0,102
3012100,36047012100,0,7,26,27,51,-18,0,3,107,0,0,39,-1,0,0,,0,0,14,209,-3
3012200,36047012200,0,4,8,3,0,1,1,3,0,8,-2,0,2,78,5,,0,0,12,5,4
3012600,36047012600,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,1,0,0,0,3
3012700,36047012700,38,0,95,-8,0,84,0,70,58,-5,-2,31,-5,107,30,,2,-2,533,39,20
3012801,36047012801,0,1,0,0,1,0,0,0,0,0,0,0,-2,0,0,,0,5,2,3,0
3012901,36047012901,0,9,0,4,6,5,-32,0,44,0,0,0,-1,-1,4,,14,175,330,2,-20
3012902,36047012902,-2,-98,-1,0,-1,-1,15,365,303,64,0,-2,858,-1,-1,,3,0,-1,49,0
3013000,36047013000,0,0,0,4,0,0,0,-1,0,0,0,0,0,0,0,,0,0,0,2,-3
3013100,36047013100,-11,0,0,0,2,11,3,-1,7,-8,0,-11,8,21,0,,53,0,27,6,2
3013200,36047013200,0,3,1,0,2,0,0,0,0,0,0,0,1,1,0,,0,0,0,0,3
3013300,36047013300,18,73,15,0,0,0,-13,9,52,69,8,10,-6,50,-2,,1,7,-1,-4,-6
3013400,36047013400,0,-2,0,0,3,2,0,1,-1,0,1,0,0,0,0,,10,2,0,5,0
3013500,36047013500,0,0,2,-2,0,0,1,0,-1,-1,-1,0,0,-2,0,,2,0,-4,1,0
3013600,36047013600,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,,0,4,2,2,0
3013700,36047013700,-1,-3,8,2,101,63,0,0,0,7,-2,-1,2,0,0,,4,2,-2,1,1
3013800,36047013800,0,0,1,0,0,-1,0,0,0,0,2,0,0,0,0,,-1,0,3,2,12
3013900,36047013900,-1,-1,3,0,6,-3,12,1,-1,8,1,-3,69,4,-1,,5,30,250,-6,10
3014000,36047014000,0,0,1,-1,-2,0,6,0,0,0,-1,0,1,0,0,,0,0,0,0,1
