NTA2020,ntaname20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
QN0202,Sunnyside,18,25,-4,3,-2,63,7,39,22,3,14,16,90,86,1,22424,263,0,489,74,77
QN0203,Woodside,129,84,140,23,1,27,0,34,63,24,52,132,70,107,192,19183,18,165,688,245,101
QN0261,Sunnyside Yards (South),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,167,0,0,1
QN0271,Calvary & Mount Zion Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN0301,Jackson Heights,-1,26,60,17,58,-3,7,8,47,6,5,1,8,74,96,37428,12,10,195,28,175
QN0302,East Elmhurst,12,33,8,93,23,28,2,23,4,21,34,47,25,57,51,9940,20,18,197,35,359
QN0303,North Corona,25,176,125,61,94,65,42,51,13,51,4,26,129,12,23,11544,20,14,252,53,76
QN0401,Elmhurst,164,165,98,149,39,85,185,55,52,61,397,187,276,147,68,35849,456,71,904,200,411
QN0402,Corona,33,141,127,86,47,25,23,71,66,164,74,44,58,96,47,22216,24,79,158,126,140
QN0501,Maspeth,-1,44,29,8,40,7,36,26,9,5,14,4,22,21,0,16304,33,-1,32,33,82
QN0502,Ridgewood,148,141,38,57,5,5,22,69,162,119,109,166,79,109,141,26014,86,24,139,138,488
QN0503,Glendale,3,0,-1,0,4,1,20,1,5,-2,3,-12,3,66,6,13556,12,14,11,5,103
QN0504,Middle Village,6,30,11,11,0,11,7,-2,4,8,98,7,9,8,1,14062,25,3,24,-8,45
QN0571,Mount Olivet & All Faiths Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
QN0572,Middle Village Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QN0573,St. John Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
