NTA2020,ntaname20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
BK5692,Jamaica Bay (West),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BK5693,Shirley Chisholm State Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX0101,Mott Haven-Port Morris,603,427,232,60,5,258,256,74,138,784,342,615,472,756,1224,21159,236,132,1937,416,81
BX0102,Melrose,189,144,645,416,9,26,63,201,2,156,183,197,533,181,48,15481,28,493,600,135,117
BX0201,Hunts Point,228,4,1,1,9,-3,0,0,-5,42,0,227,114,275,7,5238,16,144,454,32,19
BX0202,Longwood,218,154,243,16,100,2,0,107,83,36,400,302,165,143,38,14417,42,7,504,20,395
BX0291,North & South Brother Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX0301,Morrisania,12,945,155,1,205,261,334,319,98,209,559,31,178,368,142,14048,225,122,654,251,23
BX0302,Claremont Village-Claremont (East),188,130,391,0,143,6,0,0,-1,102,62,188,21,0,28,8098,0,0,31,0,7
BX0303,Crotona Park East,152,282,237,129,40,9,84,339,515,149,251,525,91,174,26,11641,310,11,803,418,11
BX0391,Crotona Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
BX0401,Concourse-Concourse Village,203,168,-11,79,217,30,3,124,160,433,53,203,95,290,1313,25539,696,112,2882,24,145
BX0402,Highbridge,38,10,6,103,-1,152,82,2,111,260,77,38,34,330,5,11969,23,59,816,134,111
BX0403,Mount Eden-Claremont (West),9,243,37,34,50,101,0,3,238,-2,144,9,394,103,133,16921,164,37,543,96,142
BX0491,Yankee Stadium-Macombs Dam Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX0492,Claremont Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BX0501,University Heights (South)-Morris Heights,72,127,123,151,-5,141,61,-1,59,-6,22,70,16,218,17,19536,613,107,1506,301,428
BX0502,Mount Hope,175,127,76,0,0,75,108,7,289,275,384,172,134,533,302,16783,353,283,1433,805,141
BX0503,Fordham Heights,59,43,1,1,-4,82,20,1,116,91,0,86,-2,58,276,10627,8,56,327,148,59
BX0601,West Farms,400,0,40,0,-1,51,155,52,-40,567,157,395,-76,203,418,7847,45,84,438,204,12
BX0602,Tremont,65,114,249,123,3,83,198,86,-9,259,241,66,385,148,161,11939,411,55,769,169,253
BX0603,Belmont,123,110,86,22,8,61,58,41,75,126,195,123,40,118,297,12658,376,74,759,326,162
BX0701,University Heights (North)-Fordham,-7,149,0,41,46,66,-19,38,103,230,-2,180,80,57,84,15889,569,55,539,227,82
BX0702,Bedford Park,238,211,60,88,6,75,207,41,77,273,102,284,437,188,148,21029,144,159,1874,175,128
BX0703,Norwood,26,118,-3,80,97,-5,-1,115,55,201,90,27,4,120,0,15908,280,16,279,230,167
BX0801,Kingsbridge Heights-Van Cortlandt Village,-3,4,9,80,0,-1,-1,76,8,-4,159,-3,40,11,44,13638,70,38,427,255,39
BX0802,Kingsbridge-Marble Hill,-2,0,-1,157,-1,0,5,2,107,85,8,-2,7,-1,39,9495,2,502,97,5,54
BX0803,Riverdale-Spuyten Duyvil,50,23,18,14,71,2,-71,130,11,11,0,54,61,287,0,21812,8,46,191,152,64
BX0901,Soundview-Bruckner-Bronx River,0,15,19,10,7,-5,14,105,11,3,441,74,614,57,69,26112,36,96,312,0,48
BX0902,Soundview-Clason Point,-1,160,16,5,55,-2,170,143,102,10,22,104,9,1,5,13558,67,168,282,9,38
BX0903,Castle Hill-Unionport,124,9,22,31,0,31,135,2,27,8,91,127,19,5,-1,14321,9,352,44,231,39
BX0904,Parkchester,20,0,3,0,15,6,0,0,0,26,-5,20,-3,24,0,14007,21,49,352,65,26
BX0991,Soundview Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,562,0,0,0,562
BX1001,Westchester Square,55,114,102,3,57,4,-1,11,-5,8,6,55,0,0,0,5704,4,85,195,2,26
BX1002,Throgs Neck-Schuylerville,7,13,92,8,19,-2,0,12,-12,16,18,17,6,5,3,18770,43,41,28,9,45
BX1003,Pelham Bay-Country Club-City Island,2,9,28,7,21,19,79,18,42,30,28,8,55,16,-1,12920,372,-1,91,34,186
BX1004,Co-op City,0,-1,71,7,0,-1,177,4,-1,-1,0,0,-1,0,0,17921,8,0,9,-1,-91
BX1071,Hart Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX1091,Ferry Point Park-St. Raymond Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX1101,Pelham Parkway-Van Nest,-2,16,1,18,-2,3,0,-12,18,19,29,4,2,6,9,12032,23,157,54,45,76
BX1102,Morris Park,1,27,17,-2,1,2,-1,-7,146,6,11,1,6,6,-1,9722,14,9,30,8,18
BX1103,Pelham Gardens,7,4,13,2,19,12,3,14,29,3,17,7,20,8,3,9951,34,21,55,29,71
BX1104,Allerton,16,22,11,2,19,-3,14,-1,7,17,4,32,29,116,47,13899,75,15,479,94,104
BX1161,Hutchinson Metro Center,0,0,0,0,-2,0,2,0,-1,0,0,0,0,0,-3,24,0,181,0,-3,0
BX1201,Williamsbridge-Olinville,83,102,239,76,229,85,239,280,57,158,29,131,99,235,322,22867,331,73,756,163,176
BX1202,Eastchester-Edenwald-Baychester,13,102,57,23,32,34,23,57,20,32,11,15,-1,19,4,18388,59,19,123,13,75
BX1203,Wakefield-Woodlawn,43,46,48,77,3,84,3,10,16,14,37,50,290,113,6,18601,36,20,709,13,57
BX1271,Woodlawn Cemetery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BX2691,Van Cortlandt Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0
BX2791,Bronx Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
BX2891,Pelham Bay Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
