TaxIncentiveDWID,ProjectID,TaxIncentiveName,Year1Amount
8266,69178,Article XI,98790
7683,69246,Article XI,671079
7908,69280,Article XI,147804
7366,69286,Article XI,354317
7565,69305,Article XI,376225
7794,69479,Article XI,307812
7478,69490,Article XI,3258157
7311,69863,Article XI,148801
8998,70189,Article XI,655377
8608,70648,Article XI,536452
8666,70834,Article XI,399611
8848,70891,Article XI,503039
8265,71021,Article XI,210598
