ProjectID,BuildingID,ReportingConstructionType,Borough,Block,Lot,BIN,HouseNumber,StreetName,CountedRentalUnits,CountedHomeownershipUnits,AllCountedUnits,TotalBuildingUnits,BaseSquareFootage,Stories,BBL,Community Board,Council District,Census Tract,NTA,Latitude,Longitude,Postcode
58479,989182,New Construction,,3515,20,,1719,LACOMBE AVENUE,0,4,4,4,7400,4,,,,,,,,
58479,996068,New Construction,,3515,1,2092605,1715,LACOMBE AVENUE,0,8,8,8,5480,4,2035150001,9,18,20,BX09,40.814489,-73.865649,10473
58479,996069,New Construction,,3515,20,,351,BRONX RIVER AVENUE,0,8,8,8,5349,4,,,,,,,,
58479,996070,New Construction,,3515,20,,359,BRONX RIVER AVENUE,0,8,8,8,6114,4,,,,,,,,
58479,996071,New Construction,,3515,20,,355,BRONX RIVER AVENUE,0,8,8,8,6149,4,,,,,,,,
58480,973555,New Construction,,3623,7501,2127284,1530,STORY AVENUE,212,0,212,212,23728,12,2036230030,9,17,28,BX09,40.82174,-73.877059,10473
58548,348484,Preservation,,7218,59,3195852,2580,OCEAN PARKWAY,0,0,0,90,,6,3072180059,13,47,37401,BK26,40.587055,-73.966074,11235
58555,820177,New Construction,,4295,72,3000000,21,MALTA STREET,1,1,2,2,1150,3,3042950072,5,42,1130,BK85,40.659821,-73.895858,11207
58555,927141,New Construction,,3692,6,3000000,299,MOTHER GASTON BOULEVARD,2,1,3,3,1061,3,3036920006,16,37,908,BK81,40.672034,-73.907461,11212
58555,927146,New Construction,,3841,32,3000000,668,VERMONT STREET,2,1,3,3,1279,3,3038410032,5,42,1128,BK85,40.662924,-73.891571,11207
58555,927153,New Construction,,1446,56,3000000,1915,BERGEN STREET,2,1,3,3,1279,3,3014460056,16,41,303,BK79,40.674353,-73.917823,11233
58555,927165,New Construction,,3867,8,3000000,655,HINSDALE STREET,2,1,3,3,1295,3,3038670008,5,42,1132,BK85,40.658683,-73.897294,11207
58555,927610,New Construction,,1454,66,3000000,1633,ST MARKS AVENUE,2,1,3,3,1386,3,3014540066,16,41,36501,BK79,40.673183,-73.912845,11233
58555,927613,New Construction,,3866,41,3000000,642,HINSDALE STREET,2,1,3,3,1436,3,3038660041,5,42,1132,BK85,40.658949,-73.897384,11207
58555,927614,New Construction,,3866,68,3085948,1745,LINDEN BOULEVARD,2,1,3,3,1295,3,3038660068,5,42,1132,BK85,40.657561,-73.897829,11207
58555,927732,New Construction,,1447,14,3000000,2164,DEAN STREET,2,1,3,3,1276,3,3014470014,16,41,303,BK79,40.675008,-73.915778,11233
58555,927741,New Construction,,4295,19,3000000,650,ALABAMA AVENUE,2,1,3,3,1295,3,3042950019,5,42,1130,BK85,40.660042,-73.894971,11207
